year,ship,week,quar,hpsegment2,gear,TRIPNR,w_total,w_hour
2015,TH10,49,4,Euro,pulse,1221,80.19447529,1.117693035
2015,TH7,8,1,Euro,pulse,1068,7.224019962,0.125453313
2015,TH7,45,4,Euro,pulse,1200,161.840831078,2.201916069
2015,TX29,15,2,Groot,non-pulse,1095,94.60738807,1.435257468
2015,TX29,25,2,Groot,non-pulse,1130,267.72140093,3.613787189
2015,TX29,33,3,Groot,non-pulse,1160,60.74295572,0.808110276
2015,TX29,47,4,Groot,non-pulse,1213,111.0802787,1.45679054
2015,UK33,10,1,Groot,non-pulse,1082,8.528654685,0.101733456
2015,UK45,49,4,Groot,pulse,1225,11.35367949,0.160854963
2015,WR244,10,1,Euro,pulse,1081,30.423473295999997,0.393831369
2015,WR244,13,1,Euro,pulse,1091,3.91621694,0.056012638000000003
2015,WR244,18,2,Euro,pulse,1106,9.342107574,0.16908792
2015,WR244,33,3,Euro,pulse,1162,60.538655903,0.964759457
2016,GO31,6,1,Groot,pulse,1240,53.9850068,0.897257731
2016,GO31,8,1,Groot,pulse,1253,60.720038810000005,1.1227125820000001
2016,GO31,11,1,Groot,pulse,1267,87.68046724999999,1.613750931
2016,GO31,14,2,Groot,pulse,1279,129.90840250000002,1.576239464
2016,GO31,19,2,Groot,pulse,1291,112.13513562,1.34427735
2016,GO31,25,2,Groot,pulse,1310,32.08432607,0.408804325
2016,GO31,32,3,Groot,pulse,1329,250.90475537,3.169323226
2016,GO31,38,3,Groot,pulse,1343,50.30413134,0.635420607
2016,GO31,40,4,Groot,pulse,1356,75.43463825,0.941951778
2016,GO31,44,4,Groot,pulse,1373,368.76880372,4.296335577
2016,GO48,28,3,Groot,pulse,1319,177.3721976,2.341547163
2016,GO48,46,4,Groot,pulse,1379,88.97122131,1.12503125
2016,OD3,7,1,Euro,pulse,1247,47.25259587,0.70229273
2016,OD3,9,1,Euro,pulse,1256,32.841960058,0.357236693
2016,OD3,17,2,Euro,pulse,1289,18.667353075999998,0.625022983
2016,OD3,23,2,Euro,pulse,1303,109.50677523,1.379178529
2016,OD3,28,3,Euro,pulse,1320,23.00752416,0.6633596589999999
2016,OD6,9,1,Groot,pulse,1257,23.83404399,0.302334596
2016,OD6,13,1,Groot,pulse,1273,17.5463734,0.253072693
2016,OD6,38,3,Groot,pulse,1347,35.35159395,0.4324354
2016,OD6,44,4,Groot,pulse,1375,55.18781445,0.655696805
2016,OD6,46,4,Groot,pulse,1380,78.17119099,0.95622252
2016,TH10,6,1,Euro,pulse,1243,48.32398507,1.1325934
2016,TH10,8,1,Euro,pulse,1254,31.203189071,0.413743943
2016,TH10,15,2,Euro,pulse,1282,424.59964557,5.279995594
2016,TH10,19,2,Euro,pulse,1292,120.92240711,1.611582503
2016,TH7,19,2,Euro,pulse,1293,47.79308186,0.661038476
2016,TX29,6,1,Groot,non-pulse,1244,500.22809692,8.61224844
2016,TX29,10,1,Groot,non-pulse,1266,30.89468624,0.38942881900000004
2016,TX29,12,1,Groot,non-pulse,1269,143.17939343,2.03331683
2016,TX29,19,2,Groot,non-pulse,1294,13.48264782,0.193068943
2016,TX29,20,2,Groot,non-pulse,1295,47.03064848,0.705459727
2016,TX29,24,2,Groot,non-pulse,1306,371.78843061,4.249010636
2016,TX29,36,3,Groot,non-pulse,1340,174.22887282,3.323921262
2016,TX29,40,4,Groot,non-pulse,1358,382.05745704000003,5.343460937
2016,TX29,44,4,Groot,non-pulse,1376,995.2387257,14.167099298
2016,UK158,5,1,Euro,pulse,1236,8.768435478,0.232790322
2016,UK158,42,4,Euro,pulse,1366,49.48258416,0.594980972
2016,UK158,46,4,Euro,pulse,1381,96.69000546000001,1.3763701849999999
2016,UK158,48,4,Euro,pulse,1387,309.98143189999996,3.866712248
2016,UK284,34,3,Groot,pulse,1335,513.6543799,6.620679441
2016,UK284,42,4,Groot,pulse,1368,539.5914121000001,5.967831285
2016,UK33,16,2,Groot,pulse,1284,1603.56240114,18.574081865
2016,UK33,28,3,Groot,pulse,1324,575.9597688,7.391997033
2016,UK33,40,4,Groot,pulse,1359,230.62288572,2.907011165
2016,UK33,41,4,Groot,pulse,1363,341.56059960000005,4.42627127
2016,UK33,46,4,Groot,pulse,1382,115.72813522999999,1.448110139
2016,UK33,48,4,Groot,pulse,1389,252.9207245,3.164805728
2016,UK45,22,2,Groot,pulse,1300,68.71556771,1.061244289
2016,UK45,25,2,Groot,pulse,1313,750.4711698,10.351326479
2016,UK45,30,3,Groot,pulse,1328,184.89663247,2.5859668879999997
2016,UK45,32,3,Groot,pulse,1332,139.32012406,1.9832046129999998
2016,UK45,34,3,Groot,pulse,1336,117.30642323000001,1.5435055690000001
2016,UK45,38,3,Groot,pulse,1354,11.574657,0.167748652
2016,UK45,42,4,Groot,pulse,1369,53.590521181999996,0.810953662
2016,UK45,46,4,Groot,pulse,1383,32.05592476,0.473150181
2016,UK45,49,4,Groot,pulse,1394,27.37403473,0.378879374
2016,UK64,47,4,Groot,non-pulse,1385,311.2363133,3.6869059809999998
2016,UK64,49,4,Groot,non-pulse,1395,983.2668921,9.069333363
